,ds,yhat
0,2017-03-22,34.2607359931225
1,2017-03-23,34.09703411881175
2,2017-03-24,34.0764966870874
3,2017-03-25,34.18252210181461
4,2017-03-26,34.39633409981863
5,2017-03-27,34.697382658278464
6,2017-03-28,35.06378948876532
7,2017-03-29,35.47282733591469
8,2017-03-30,35.90142134754939
9,2017-03-31,36.32666014031668
10,2017-04-01,36.726303869243594
11,2017-04-02,37.079276631062704
12,2017-04-03,37.366130889974464
13,2017-04-04,37.56947230216782
14,2017-04-05,37.6743343138918
15,2017-04-06,37.66849319174017
16,2017-04-07,37.54271567045554
17,2017-04-08,37.29093316086061
18,2017-04-09,36.91033834304655
19,2017-04-10,36.40140199914772
20,2017-04-11,35.767810003127224
21,2017-04-12,35.016322454939974
22,2017-04-13,34.156558958935435
23,2017-04-14,33.20071594826752
24,2017-04-15,32.16322369665538
25,2017-04-16,31.060352190018
26,2017-04-17,29.909776311531935
27,2017-04-18,28.730111791493275
28,2017-04-19,27.54043406123991
29,2017-04-20,26.35979251217556
30,2017-04-21,25.20673267981709
31,2017-04-22,24.098838579327076
32,2017-04-23,23.052306763356615
33,2017-04-24,22.081562749322007
34,2017-04-25,21.19892923853506
35,2017-04-26,20.414354088941522
36,2017-04-27,19.735204339205307
37,2017-04-28,19.16613076251153
38,2017-04-29,18.709005504449443
39,2017-04-30,18.36293338379736
40,2017-05-01,18.12433546284556
41,2017-05-02,17.987101578578635
42,2017-05-03,17.942806720009052
43,2017-05-04,17.98098346144064
44,2017-05-05,18.08944737739098
45,2017-05-06,18.254655751517262
46,2017-05-07,18.462099497234927
47,2017-05-08,18.696712158967763
48,2017-05-09,18.943285691594433
49,2017-05-10,19.186881669597458
50,2017-05-11,19.413226870372867
51,2017-05-12,19.609082769795645
52,2017-05-13,19.76257936245598
53,2017-05-14,19.863504846734454
54,2017-05-15,19.90354406161605
55,2017-05-16,19.876460087814
56,2017-05-17,19.778215085508325
57,2017-05-18,19.60702818654558
58,2017-05-19,19.363370042871406
59,2017-05-20,19.0498953949615
60,2017-05-21,18.671316734482104
61,2017-05-22,18.23422372202826
62,2017-05-23,17.74685446017786
63,2017-05-24,17.218825965384845
64,2017-05-25,16.660832199972592
65,2017-05-26,16.084318790904412
66,2017-05-27,15.50114405716203
67,2017-05-28,14.923236181828692
68,2017-05-29,14.362256296075845
69,2017-05-30,13.829276896108048
70,2017-05-31,13.334484402871674
71,2017-06-01,12.886913832310384
72,2017-06-02,12.494222453076624
73,2017-06-03,12.162508094568217
74,2017-06-04,11.896176354711514
75,2017-06-05,11.697859478043902
76,2017-06-06,11.56838812904408
77,2017-06-07,11.50681573208238
78,2017-06-08,11.510493531423677
79,2017-06-09,11.575193086121125
80,2017-06-10,11.695271596259175
81,2017-06-11,11.863874295531225
82,2017-06-12,12.073167172342423
83,2017-06-13,12.314592523168812
84,2017-06-14,12.579139315965861
85,2017-06-15,12.857620068192467
86,2017-06-16,13.140945898962208
87,2017-06-17,13.42039165336709
88,2017-06-18,13.687843436168162
89,2017-06-19,13.936021572798381
90,2017-06-20,14.158672885780646
91,2017-06-21,14.350727213236212
92,2017-06-22,14.508414268871746
93,2017-06-23,14.62933821225593
94,2017-06-24,14.712508624907166
95,2017-06-25,14.758327930941299
96,2017-06-26,14.768536619879416
97,2017-06-27,14.746118884349134
98,2017-06-28,14.695172438191111
99,2017-06-29,14.620747308565626
100,2017-06-30,14.528659231203449
101,2017-07-01,14.425283974468325
102,2017-07-02,14.317339361145194
103,2017-07-03,14.21166201289822
104,2017-07-04,14.114985867602929
105,2017-07-05,14.033729328116152
106,2017-07-06,13.973797499549736
107,2017-07-07,13.940405376418955
108,2017-07-08,13.937927072046048
109,2017-07-09,13.96977526659229
110,2017-07-10,14.038314017512821
111,2017-07-11,14.144806960848364
112,2017-07-12,14.289401770131928
113,2017-07-13,14.47115056406005
114,2017-07-14,14.688064817969583
115,2017-07-15,14.937202240498767
116,2017-07-16,15.214782099911417
117,2017-07-17,15.516324621964547
118,2017-07-18,15.836809374985126
119,2017-07-19,16.170847024314504
120,2017-07-20,16.512858493225576
121,2017-07-21,16.85725541997564
122,2017-07-22,17.19861585375022
123,2017-07-23,17.531849382302926
124,2017-07-24,17.852346321416416
125,2017-07-25,18.156106205273762
126,2017-07-26,18.43984157756262
127,2017-07-27,18.701053961275786
