,full_date,pm
0,2017-03-22,91.98297872340426
1,2017-03-23,84.64926931106471
2,2017-03-24,126.0395349200156
3,2017-03-25,63.18391328666588
4,2017-03-26,38.57259719398976
5,2017-03-27,34.030815285638006
6,2017-03-28,40.06101613081217
7,2017-03-29,52.11497878583916
8,2017-03-30,49.29826379894115
9,2017-03-31,36.18457053472423
10,2017-04-01,33.10182323842734
11,2017-04-02,49.51228271419025
12,2017-04-03,33.26438966974867
13,2017-04-07,42.14957478937621
14,2017-04-08,56.784808723776685
15,2017-04-09,68.65701252895629
16,2017-04-10,68.19616008433682
17,2017-04-11,46.3849893562337
18,2017-04-12,12.971596910456734
19,2017-04-13,20.15574909229232
20,2017-04-14,23.127633193598587
21,2017-04-15,41.25546183100382
22,2017-04-16,54.39756511283413
23,2017-04-17,23.506502589362206
24,2017-04-18,33.57536410415242
25,2017-04-19,44.40345775318725
26,2017-04-20,33.328542069799624
27,2017-04-21,22.88733664018408
28,2017-04-22,24.07050265873565
29,2017-04-23,26.878328347871403
30,2017-04-24,28.306433726714705
31,2017-04-25,29.36408911097821
32,2017-04-26,25.005018338915203
33,2017-04-27,14.856250712764178
34,2017-04-28,12.36888251219884
35,2017-04-29,23.96662649930265
36,2017-04-30,29.30383430113434
37,2017-05-01,28.041491676626844
38,2017-05-02,36.2201301476578
39,2017-05-03,30.56932358620165
40,2017-05-04,35.475535757969155
41,2017-05-05,23.97263364776882
42,2017-05-06,26.307985669985037
43,2017-05-07,25.222692740545355
44,2017-05-08,37.35076346451112
45,2017-05-09,24.917669408050408
46,2017-05-10,25.883205393912863
47,2017-05-11,18.51141126512953
48,2017-05-12,22.763671127569904
49,2017-05-13,28.983500703223623
50,2017-05-14,28.041276688627157
51,2017-05-15,16.43573982813388
52,2017-05-16,17.872012462933732
53,2017-05-17,27.111835139718192
54,2017-05-18,25.428468468323867
55,2017-05-19,36.52268015450032
56,2017-05-20,34.968895863242054
57,2017-05-21,39.18883810986221
58,2017-05-22,25.74456924234352
59,2017-05-23,15.533532262445576
60,2017-05-24,13.159307683377104
61,2017-05-25,17.98299030006108
62,2017-05-26,14.952030744288876
63,2017-05-27,19.997378246100485
64,2017-05-28,22.63133166133713
65,2017-05-29,14.573783677079115
66,2017-05-30,14.590150956505363
67,2017-05-31,15.854191363518598
68,2017-06-01,21.36141334968464
69,2017-06-02,16.71551066857088
70,2017-06-03,17.780863502957057
71,2017-06-04,20.69211223519949
72,2017-06-05,14.207015953831366
73,2017-06-06,14.342409031338992
74,2017-06-07,8.681383418184353
75,2017-06-08,17.972129729581727
76,2017-06-09,19.806579352580915
77,2017-06-10,16.915131796934137
78,2017-06-11,20.07517039510813
79,2017-06-12,25.50945825574298
80,2017-06-13,22.19711242921942
81,2017-06-14,18.408181864435434
82,2017-06-15,18.73971639512808
83,2017-06-16,22.67319678863853
84,2017-06-17,18.55179492563529
85,2017-06-18,15.470720894423795
86,2017-06-19,17.8356768258749
87,2017-06-20,18.128689629205155
88,2017-06-21,18.83335449493613
89,2017-06-22,20.378348511941734
90,2017-06-23,14.75611599610729
91,2017-06-24,12.54849760980455
92,2017-06-25,21.13725707584301
93,2017-06-26,15.685841768037449
94,2017-06-27,16.228464626654592
95,2017-06-28,14.456387343507444
96,2017-06-29,15.721477824782609
97,2017-06-30,20.19822909833652
98,2017-07-01,27.90147096754195
99,2017-07-02,19.6350676366377
100,2017-07-03,22.57379051874557
101,2017-07-04,20.323842625379765
102,2017-07-05,20.45067009348216
103,2017-07-06,18.23335761344636
104,2017-07-07,20.095693977460595
105,2017-07-08,18.120581876864502
106,2017-07-09,16.711723552778192
107,2017-07-10,22.448004522780543
108,2017-07-11,57.024157949682426
109,2017-07-12,30.03323770800511
110,2017-07-13,15.043553738806844
111,2017-07-14,11.066178799982069
112,2017-07-15,27.43572873096944
113,2017-07-16,23.64490115005028
114,2017-07-17,14.91787521711755
115,2017-07-18,16.781589299830696
116,2017-07-19,14.016160250476792
117,2017-07-20,18.96180788243944
118,2017-07-21,20.90087911129358
119,2017-07-22,17.519690315703343
120,2017-07-23,26.30881870657002
121,2017-07-24,20.728989137608497
122,2017-07-25,18.595557511164564
123,2017-07-26,21.53490450821468
124,2017-07-27,20.561112082686755
125,2017-07-28,22.093800925373824
126,2017-07-29,25.617706567876667
127,2017-07-30,26.835330904638905
128,2017-07-31,21.697977853544327
129,2017-08-01,24.287013637248496
130,2017-08-02,25.964359832938875
131,2017-08-03,32.41414169028439
132,2017-08-04,19.529926317536844
133,2017-08-05,17.455375765627558
134,2017-08-06,20.250892340410747
135,2017-08-07,26.414575595846
136,2017-08-08,21.82223436549202
137,2017-08-09,22.706651824370702
138,2017-08-10,17.914780567361255
139,2017-08-11,16.417633474506882
140,2017-08-12,30.11476560710001
141,2017-08-13,38.54259959594353
142,2017-08-14,42.62364568116877
143,2017-08-15,25.491584198025475
144,2017-08-16,20.29646650593095
145,2017-08-17,18.2125879089385
146,2017-08-18,21.01212955522824
147,2017-08-19,30.61235966890692
148,2017-08-20,25.254750050528603
149,2017-08-21,16.307577590233006
150,2017-08-22,15.723067759031649
151,2017-08-23,15.156373364676238
152,2017-08-24,19.432544925833756
153,2017-08-25,21.135463891152167
154,2017-08-26,21.89657496392172
155,2017-08-27,23.75324928225079
156,2017-08-28,23.62635650771609
157,2017-08-29,24.771755424595035
158,2017-08-30,24.312926534503504
159,2017-08-31,21.754776739779818
160,2017-09-01,24.78309380531845
161,2017-09-02,23.151457898571987
162,2017-09-03,30.723089624828894
163,2017-09-04,32.7818629885156
