,ds,y,unique_id
0,2018-06-01,-4.8635829665928085,2
1,2018-06-02,5.561724062726791,2
2,2018-06-03,-10.744707935869673,2
3,2018-06-04,-9.082386153563677,2
4,2018-06-05,-10.721953212091115,2
5,2018-06-06,-5.9392350141955035,2
6,2018-06-07,3.33819118025159,2
7,2018-06-08,-9.827866894629832,2
8,2018-06-09,-5.16474095867653,2
9,2018-06-10,-6.689692218477132,2
10,2018-06-11,-1.251511610993063,2
11,2018-06-12,-6.559340728808581,2
12,2018-06-13,-9.188154388949512,2
13,2018-06-14,-6.436396848922669,2
14,2018-06-15,-2.9274174120490244,2
15,2018-06-16,-6.9194205453191255,2
16,2018-06-17,-10.22683653102931,2
17,2018-06-18,10.384829632325573,2
18,2018-06-19,3.9304600503811393,2
19,2018-06-20,-0.3562442756429469,2
20,2018-06-21,1.388737971713578,2
21,2018-06-22,8.55600242410116,2
22,2018-06-23,6.359321205792671,2
23,2018-06-24,2.3439237072411316,2
24,2018-06-25,4.77181231781713,2
25,2018-06-26,-3.2955923906308797,2
26,2018-06-27,-15.780426951441878,2
27,2018-06-28,-18.19925551963893,2
28,2018-06-29,-16.729621398079537,2
29,2018-06-30,-6.049556947040811,2
30,2018-07-01,-1.627389326153608,2
31,2018-07-02,5.847630074141783,2
32,2018-07-03,-0.4869982717698633,2
33,2018-07-04,-13.165047628318055,2
34,2018-07-05,-12.666680368180414,2
35,2018-07-06,-5.920491911496935,2
36,2018-07-07,-3.3698735982242276,2
37,2018-07-08,-0.7388742434191009,2
38,2018-07-09,4.974968002832895,2
39,2018-07-10,-10.712053975480728,2
40,2018-07-11,-11.955318943978257,2
41,2018-07-12,-5.933644910856673,2
42,2018-07-13,-4.681161507963592,2
43,2018-07-14,-3.6663967036614906,2
44,2018-07-15,0.9785932022605621,2
45,2018-07-16,1.5002202265211295,2
46,2018-07-17,-6.9715875867062795,2
47,2018-07-18,-5.13270424152388,2
48,2018-07-19,-2.8136025726774534,2
49,2018-07-20,-3.7403680793368075,2
50,2018-07-21,-3.496972114967182,2
51,2018-07-22,-1.6237887392426629,2
52,2018-07-23,8.520637744705645,2
53,2018-07-24,0.9016722388838048,2
54,2018-07-25,-6.712596871908509,2
55,2018-07-26,-6.102262986899991,2
56,2018-07-27,-2.0205550397142638,2
57,2018-07-28,-10.547973534542672,2
58,2018-07-29,-9.267673274722437,2
59,2018-07-30,-2.5071190777714563,2
60,2018-07-31,-2.0794274521458753,2
61,2018-08-01,-6.116429362275529,2
62,2018-08-02,1.4238723289836202,2
63,2018-08-03,6.81715966734297,2
64,2018-08-04,-1.4703039449103557,2
65,2018-08-05,-0.6151630144653666,2
66,2018-08-06,5.804299895662069,2
67,2018-08-07,4.146942835980116,2
68,2018-08-08,-4.42434697493459,2
69,2018-08-09,-9.451398516593347,2
70,2018-08-10,-5.85723582913867,2
71,2018-08-11,-0.006136318944310659,2
72,2018-08-12,-5.715629846764436,2
73,2018-08-13,-9.903935527287377,2
74,2018-08-14,-7.780454177999747,2
75,2018-08-15,-9.77373752005806,2
76,2018-08-16,-7.521609889788994,2
77,2018-08-17,4.657369889378089,2
78,2018-08-18,9.002712729441477,2
79,2018-08-19,11.706213169818206,2
80,2018-08-20,10.915223351932486,2
81,2018-08-21,-3.196565967902284,2
82,2018-08-22,-9.546778266641812,2
83,2018-08-23,-3.0586315261678223,2
84,2018-08-24,2.56236188714837,2
85,2018-08-25,0.8342648659127008,2
86,2018-08-26,-1.6352828048390506,2
87,2018-08-27,1.705461723001715,2
