,full_date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,104,105,106,108,3269728,4372603,4438736,4439094,4439475,5901326,5917712,7723955,30369354,34703847,36200067,36671067,37052366,38834077,39168240,39379024,Grand Total
0,2017-03-22,,91.98297872340426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.98297872340426
1,2017-03-23,,84.64926931106471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.64926931106471
2,2017-03-24,208.40343347639484,43.675636363636364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0395349200156
3,2017-03-25,67.57560975609756,58.79221681723419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.18391328666588
4,2017-03-26,45.677083333333336,48.34840055632824,,21.692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.57259719398976
5,2017-03-27,22.100764419735928,25.86610878661088,70.42292490118577,17.733463035019454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.030815285638006
6,2017-03-28,45.42618384401114,23.530967292971468,51.22589725545391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.06101613081217
7,2017-03-29,75.58524704244955,31.14435879467414,49.61533052039381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.11497878583916
8,2017-03-30,74.73991655076495,29.700139470013948,43.45473537604457,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.29826379894115
9,2017-03-31,41.11961057023644,30.542797494780793,39.34631432545201,33.729559748427675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.18457053472423
10,2017-04-01,47.24442896935933,23.582302568981923,35.84309623430963,25.737465181058496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.10182323842734
11,2017-04-02,61.24287749287749,37.50071022727273,56.2533147243545,43.05222841225627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.51228271419025
12,2017-04-03,26.87319587628866,32.33508956796628,39.46600877192982,34.38326446280992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.26438966974867
13,2017-04-07,40.784011220196355,36.998046875,48.87078651685393,41.945454545454545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.14957478937621
14,2017-04-08,74.88325225851285,44.327856025039125,56.4747191011236,51.453407510431155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.784808723776685
15,2017-04-09,116.11203897007655,49.208072372999304,53.86843946815955,55.43949930458971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.65701252895629
16,2017-04-10,117.1924422673198,49.50386507378777,54.59635811836115,51.491974877878576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.19616008433682
17,2017-04-11,99.35328046142754,22.058950395398995,32.42815884476534,31.69956772334294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3849893562337
18,2017-04-12,19.933192686357245,8.032235459004905,14.051120448179272,9.869839048285515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.971596910456734
19,2017-04-13,25.705464868701206,12.694226657163222,22.13,20.093304843304843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.155749092292318
20,2017-04-14,28.54407514450867,18.971035481535118,23.21836587129429,21.77705627705628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.127633193598587
21,2017-04-15,46.62867132867133,34.03138075313807,42.24299719887955,42.11879804332634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.25546183100382
22,2017-04-16,48.141562064156204,44.59357541899441,61.38048780487805,63.47463516330785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.39756511283413
23,2017-04-17,24.026618705035972,19.884505021520802,25.230547550432277,24.88433908045977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.506502589362206
24,2017-04-18,36.45762711864407,31.38434414668547,37.045229681978796,29.41425546930134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.57536410415242
25,2017-04-19,57.973390557939915,37.45705521472393,38.467476149176065,43.71590909090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.40345775318725
26,2017-04-20,51.9978976874562,22.19706498951782,30.535988819007688,28.583216783216784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.328542069799624
27,2017-04-21,31.031757233592096,19.06633733239238,22.905233380480905,18.546018614270942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.88733664018408
28,2017-04-22,43.852161785216175,17.776462395543174,25.653386454183266,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.070502658735652
