date_time,value
2017-03-22,91.98297872340426
2017-03-23,84.64926931106471
2017-03-24,126.0395349200156
2017-03-25,63.18391328666588
2017-03-26,38.57259719398976
2017-03-27,34.030815285638006
2017-03-28,40.06101613081217
2017-03-29,52.11497878583916
2017-03-30,49.29826379894115
2017-03-31,36.18457053472423
2017-04-01,33.10182323842734
2017-04-02,49.51228271419025
2017-04-03,33.26438966974867
2017-04-04,42.30784639885094
2017-04-05,43.11666305021544
2017-04-06,37.10417471283614
2017-04-07,42.14957478937621
2017-04-08,56.784808723776685
2017-04-09,68.65701252895629
2017-04-10,68.19616008433682
2017-04-11,46.3849893562337
2017-04-12,12.971596910456734
2017-04-13,20.15574909229232
2017-04-14,23.127633193598587
2017-04-15,41.25546183100382
2017-04-16,54.39756511283413
2017-04-17,23.506502589362206
2017-04-18,33.57536410415242
2017-04-19,44.40345775318725
2017-04-20,33.328542069799624
2017-04-21,22.88733664018408
2017-04-22,24.07050265873565
2017-04-23,26.878328347871403
2017-04-24,28.306433726714705
2017-04-25,29.36408911097821
2017-04-26,25.005018338915203
2017-04-27,14.856250712764178
2017-04-28,12.36888251219884
2017-04-29,23.96662649930265
2017-04-30,29.30383430113434
2017-05-01,28.041491676626844
2017-05-02,36.2201301476578
2017-05-03,30.56932358620165
2017-05-04,35.475535757969155
2017-05-05,23.97263364776882
2017-05-06,26.30798566998504
2017-05-07,25.222692740545355
2017-05-08,37.35076346451112
2017-05-09,24.917669408050408
2017-05-10,25.883205393912863
2017-05-11,18.51141126512953
2017-05-12,22.763671127569904
2017-05-13,28.983500703223623
2017-05-14,28.04127668862716
2017-05-15,16.43573982813388
2017-05-16,17.872012462933732
2017-05-17,27.111835139718192
2017-05-18,25.428468468323867
2017-05-19,36.52268015450032
2017-05-20,34.968895863242054
2017-05-21,39.18883810986221
2017-05-22,25.74456924234352
2017-05-23,15.533532262445576
2017-05-24,13.159307683377104
2017-05-25,17.98299030006108
2017-05-26,14.952030744288876
2017-05-27,19.997378246100485
2017-05-28,22.63133166133713
2017-05-29,14.573783677079115
2017-05-30,14.590150956505363
2017-05-31,15.854191363518598
2017-06-01,21.36141334968464
2017-06-02,16.71551066857088
2017-06-03,17.780863502957057
2017-06-04,20.69211223519949
2017-06-05,14.207015953831366
2017-06-06,14.342409031338992
2017-06-07,8.681383418184353
2017-06-08,17.972129729581727
2017-06-09,19.806579352580915
2017-06-10,16.915131796934137
2017-06-11,20.07517039510813
2017-06-12,25.50945825574298
2017-06-13,22.19711242921942
2017-06-14,18.408181864435434
2017-06-15,18.73971639512808
2017-06-16,22.67319678863853
2017-06-17,18.55179492563529
2017-06-18,15.470720894423795
2017-06-19,17.8356768258749
2017-06-20,18.128689629205155
2017-06-21,18.83335449493613
2017-06-22,20.37834851194173
2017-06-23,14.75611599610729
2017-06-24,12.54849760980455
2017-06-25,21.13725707584301
2017-06-26,15.685841768037449
2017-06-27,16.228464626654592
2017-06-28,14.456387343507444
2017-06-29,15.721477824782609
2017-06-30,20.19822909833652
2017-07-01,27.90147096754195
2017-07-02,19.6350676366377
2017-07-03,22.57379051874557
2017-07-04,20.323842625379765
2017-07-05,20.45067009348216
2017-07-06,18.23335761344636
2017-07-07,20.095693977460595
2017-07-08,18.120581876864502
2017-07-09,16.711723552778192
2017-07-10,22.448004522780543
2017-07-11,57.024157949682426
2017-07-12,30.03323770800511
2017-07-13,15.043553738806844
2017-07-14,11.066178799982069
2017-07-15,27.43572873096944
2017-07-16,23.64490115005028
2017-07-17,14.91787521711755
2017-07-18,16.781589299830696
2017-07-19,14.016160250476792
2017-07-20,18.96180788243944
2017-07-21,20.90087911129358
2017-07-22,17.519690315703343
2017-07-23,26.30881870657002
2017-07-24,20.728989137608497
2017-07-25,18.595557511164564
2017-07-26,21.53490450821468
2017-07-27,20.561112082686755
2017-07-28,22.093800925373824
2017-07-29,25.617706567876667
2017-07-30,26.835330904638905
2017-07-31,21.697977853544327
2017-08-01,24.287013637248496
2017-08-02,25.964359832938875
2017-08-03,32.41414169028439
2017-08-04,19.529926317536844
2017-08-05,17.455375765627558
2017-08-06,20.250892340410747
2017-08-07,26.414575595846
2017-08-08,21.82223436549202
2017-08-09,22.706651824370702
2017-08-10,17.914780567361255
2017-08-11,16.417633474506882
2017-08-12,30.11476560710001
2017-08-13,38.54259959594353
2017-08-14,42.62364568116877
2017-08-15,25.491584198025475
2017-08-16,20.29646650593095
2017-08-17,18.2125879089385
2017-08-18,21.01212955522824
2017-08-19,30.61235966890692
2017-08-20,25.254750050528603
2017-08-21,16.307577590233006
2017-08-22,15.723067759031649
2017-08-23,15.156373364676238
2017-08-24,19.43254492583376
2017-08-25,21.135463891152167
2017-08-26,21.89657496392172
2017-08-27,23.75324928225079
2017-08-28,23.62635650771609
2017-08-29,24.771755424595035
2017-08-30,24.312926534503504
2017-08-31,21.754776739779818
2017-09-01,24.78309380531845
2017-09-02,23.151457898571987
2017-09-03,30.72308962482889
2017-09-04,32.7818629885156
2017-09-05,22.667886723870904
2017-09-06,19.179047616731776
2017-09-07,19.44000880197976
2017-09-08,22.0449010464682
2017-09-09,31.22534838537887
2017-09-10,31.19088466568084
2017-09-11,18.86491618455647
2017-09-12,15.992965604935376
2017-09-13,15.136701032415989
2017-09-14,21.80875899094805
2017-09-15,28.21140460990864
2017-09-16,36.9957613998253
2017-09-17,33.89955534777627
2017-09-18,27.12446628022514
2017-09-19,20.535350191268943
2017-09-20,21.16995128594776
2017-09-21,24.314536811336467
2017-09-22,24.89370147091263
2017-09-23,24.680363483101733
