,full_date,0,1,2,3,4,5,6
0,2017-03-22 00:00:00,148.0203366058906,50.274735300362906,41.486398986634285,40.683844011142064,40.31906280727361,36.39402362751911,39.83482989919437
1,2017-03-23 00:00:00,44.30872483221477,30.760097493036213,25.105712340374353,84.64926931106471,25.206331711122942,26.172680671618693,23.71283227763085
2,2017-03-24 00:00:00,51.91012153298587,34.98811744537424,31.42166723947404,43.675636363636364,26.540618569073434,28.737026955090982,13.845481413154824
3,2017-03-25 00:00:00,67.57560975609756,74.50068113495715,70.16537396509935,58.79221681723419,53.90360069074832,65.95865184155664,30.938544415305085
4,2017-03-26 00:00:00,45.677083333333336,38.16520814201078,21.692307692307693,48.34840055632824,31.4512588465891,33.4535055208092,16.18876515376883
5,2017-03-27 00:00:00,22.100764419735928,70.42292490118577,17.733463035019454,25.86610878661088,19.683330718877013,70.42292490118577,15.850732941786212
6,2017-03-28 00:00:00,45.42618384401114,51.22589725545391,26.655788529488838,23.530967292971468,24.867782806656965,51.22589725545391,17.59203587754916
7,2017-03-29 00:00:00,75.58524704244955,49.61533052039381,26.1939229328236,31.14435879467414,16.303167177092742,49.61533052039381,16.371956813583438
8,2017-03-30 00:00:00,74.73991655076495,43.45473537604457,24.62690528321925,29.700139470013948,22.336814282521306,43.45473537604457,16.613154950428395
9,2017-03-31 00:00:00,41.11961057023644,39.34631432545201,33.729559748427675,30.5427974947808,30.88467490684398,39.34631432545201,21.184077696232137
10,2017-04-01 00:00:00,47.24442896935933,35.84309623430963,25.737465181058496,23.582302568981923,30.057388124454928,35.84309623430963,38.055582443865376
11,2017-04-02 00:00:00,61.24287749287749,56.2533147243545,43.05222841225627,37.50071022727273,45.04353877519015,56.2533147243545,45.180961791642346
12,2017-04-03 00:00:00,26.87319587628866,39.46600877192982,34.38326446280992,32.33508956796628,43.577535751316276,39.46600877192982,45.52156285994001
13,2017-04-07 00:00:00,40.78401122019636,48.87078651685393,41.94545454545455,36.998046875,29.799183188240523,48.87078651685393,32.248488661233125
14,2017-04-08 00:00:00,74.88325225851285,56.4747191011236,51.45340751043116,44.327856025039125,30.418523213928,56.4747191011236,18.885678343102168
15,2017-04-09 00:00:00,116.11203897007655,53.86843946815955,55.43949930458971,49.2080723729993,22.021240010849397,53.86843946815955,21.159277164579116
16,2017-04-10 00:00:00,117.1924422673198,54.59635811836115,51.491974877878576,49.50386507378777,16.783532794152407,54.59635811836115,17.573482297853904
17,2017-04-11 00:00:00,99.35328046142754,32.42815884476534,31.69956772334294,22.058950395398995,13.584568636531799,32.42815884476534,13.570720372645653
18,2017-04-12 00:00:00,19.933192686357245,14.051120448179272,9.869839048285517,8.032235459004905,28.801639440401914,14.051120448179272,33.533152477315255
19,2017-04-13 00:00:00,25.70546486870121,22.13,20.093304843304843,12.694226657163222,25.61141950164124,22.13,18.062494020797185
20,2017-04-14 00:00:00,28.54407514450867,23.21836587129429,21.77705627705628,18.97103548153512,31.499095204584297,23.21836587129429,24.475593672678613
21,2017-04-15 00:00:00,46.62867132867133,42.24299719887955,42.11879804332634,34.03138075313807,28.91656286822861,42.24299719887955,30.074819862824718
22,2017-04-16 00:00:00,48.14156206415621,61.38048780487805,63.47463516330785,44.59357541899441,21.579783729321957,61.38048780487805,18.296650045238003
23,2017-04-17 00:00:00,24.02661870503597,25.23054755043228,24.88433908045977,19.8845050215208,30.14632284189206,25.23054755043228,25.96250097397538
24,2017-04-18 00:00:00,36.45762711864407,37.0452296819788,29.41425546930134,31.38434414668547,9.727615251484805,37.0452296819788,16.596919584011783
25,2017-04-19 00:00:00,57.97339055793992,38.46747614917607,43.71590909090909,37.45705521472393,17.4368044053942,38.46747614917607,17.043253400593496
26,2017-04-20 00:00:00,51.9978976874562,30.535988819007688,28.583216783216784,22.19706498951782,37.86456774033019,30.535988819007688,36.35314122660496
27,2017-04-21 00:00:00,31.031757233592096,22.905233380480905,18.546018614270945,19.06633733239238,34.399002915267864,22.905233380480905,33.4562488249671
28,2017-04-22 00:00:00,43.852161785216175,25.653386454183263,9.0,17.776462395543174,20.714666597314388,25.653386454183263,22.602124425820705
29,2017-04-23 00:00:00,33.49687282835302,27.22330774598744,21.37598729544133,19.914804469273744,17.787767749825704,27.22330774598744,16.440550687143176
30,2017-04-24 00:00:00,41.85136078157712,23.711699164345404,25.957521816366494,19.3562412342216,22.7747609753979,23.711699164345404,22.60913550690127
31,2017-04-25 00:00:00,46.43715083798882,22.48621190130624,20.38844570872506,19.16890459363957,14.620778061534494,22.48621190130624,18.408075998186302
32,2017-04-26 00:00:00,31.76775738228252,24.24113475177305,24.321428571428573,19.68975265017668,15.9894590331261,24.24113475177305,19.348476601148082
33,2017-04-27 00:00:00,19.79178605539637,14.863349684653118,27.91841943981875,9.913616398243043,30.031223000960864,14.863349684653118,26.86603449658953
34,2017-04-28 00:00:00,14.229108635097491,14.714586255259468,21.48937923410936,8.162952646239555,14.82509611303135,14.714586255259468,18.082690042706712
35,2017-04-29 00:00:00,25.350767085076708,27.9208,15.240355854496606,18.62831241283124,11.83360081274478,27.9208,21.076985445311042
36,2017-04-30 00:00:00,40.82538517975055,27.33520730850316,17.60466335034966,19.75091041514931,12.777585740860781,27.33520730850316,14.097577422231401
37,2017-05-01 00:00:00,42.05288796102992,28.84269662921348,13.140904277053691,13.228890439637125,10.480117319532114,28.84269662921348,14.308604701256435
38,2017-05-02 00:00:00,45.64017033356991,33.372492836676216,7.784563022083284,29.64772727272728,5.681825082537276,33.372492836676216,8.112548313904462
