iter	MultiRMSE
0	10.67402339
1	10.42660381
2	10.14514979
3	9.89689978
4	9.655412217
5	9.422085766
6	9.162893813
7	8.994988845
8	8.754129776
9	8.62090858
10	8.405385863
11	8.260363497
12	8.066437737
13	7.864008993
14	7.678136344
15	7.539242646
16	7.341495174
17	7.162165114
18	6.980418093
19	6.885955093
20	6.737447456
21	6.569011267
22	6.398421685
23	6.24712786
24	6.098301746
25	5.941000684
26	5.79862506
27	5.682897215
28	5.545155164
29	5.402514862
30	5.275842352
31	5.14663703
32	5.043526523
33	4.920089321
34	4.85543927
35	4.759536486
36	4.649064714
37	4.532838094
38	4.41951714
39	4.34509642
40	4.241910094
41	4.140740236
42	4.044853538
43	3.942228674
44	3.846595679
45	3.767245235
46	3.673064103
47	3.5902103
48	3.500455041
49	3.423373164
50	3.337788833
51	3.254344111
52	3.172985507
53	3.111840646
54	3.034044628
55	2.958288327
56	2.888648661
57	2.815843432
58	2.750913111
59	2.682743121
60	2.616290816
61	2.552402415
62	2.491106424
63	2.428828762
64	2.368831417
65	2.309610631
66	2.251870364
67	2.195604484
68	2.142994655
69	2.09174629
70	2.039452632
71	1.988466315
72	1.938754657
73	1.89028579
74	1.843028644
75	1.797249188
76	1.750988545
77	1.707213831
78	1.663469261
79	1.621042074
80	1.581386791
81	1.541852121
82	1.504699842
83	1.467082346
84	1.43082999
85	1.39505924
86	1.360182758
87	1.325656136
88	1.292514732
89	1.260201864
90	1.228696817
91	1.197979396
92	1.170072452
93	1.140515039
94	1.112002163
95	1.084049004
96	1.056947778
97	1.030524084
98	1.004760981
99	0.9807065773
100	0.9561889125
101	0.9322841893
102	0.9089770843
103	0.8862526568
104	0.8640963401
105	0.8436631751
106	0.8225715954
107	0.8020073052
108	0.7819571223
109	0.7624081939
110	0.7433091701
111	0.7247264406
112	0.7068237676
113	0.6891531731
114	0.6722527652
115	0.6554464458
116	0.6390602844
117	0.6232177533
118	0.6076373092
119	0.5924463763
120	0.5801577233
121	0.5659235974
122	0.552491257
123	0.5412987365
124	0.5277662679
125	0.514572111
126	0.501707808
127	0.4893814415
128	0.4771469053
129	0.4652182325
130	0.4535877765
131	0.4422480819
132	0.4311918797
133	0.420669264
134	0.4107152968
135	0.4004474143
136	0.3904362288
137	0.3806753229
138	0.3711584397
139	0.3618794786
140	0.3528324915
141	0.344011679
142	0.3354113869
143	0.3277564203
144	0.3206401693
145	0.3128440544
146	0.3050229529
147	0.297397379
148	0.2899624444
149	0.2827133832
150	0.2756455485
151	0.2691955279
152	0.2624656396
153	0.2559039986
154	0.2495063985
155	0.2432687384
156	0.2371870199
157	0.2312573443
158	0.2254759106
159	0.2198390128
160	0.2143430374
161	0.2089844613
162	0.2037598497
163	0.1986658534
164	0.193699207
165	0.1888567268
166	0.1841353085
167	0.1795319257
168	0.1750436275
169	0.1706675368
170	0.1664008483
171	0.162240827
172	0.1581848063
173	0.1555495745
174	0.1516608351
175	0.1478693141
176	0.1441725812
177	0.1405682666
178	0.1372335639
179	0.1338027248
180	0.1304576566
181	0.1274602409
182	0.1244220985
183	0.121311546
184	0.1182787573
185	0.1153217883
186	0.1124387435
187	0.1096277749
188	0.1068870805
189	0.1042149034
190	0.1016095308
191	0.09906929251
192	0.09659256016
193	0.09417774612
194	0.09207700658
195	0.08977508138
196	0.08753070431
197	0.08534243667
198	0.08338368052
199	0.08182455832
200	0.07977894433
201	0.07778447069
202	0.07583985889
203	0.07400234183
204	0.07215228326
205	0.07034847615
206	0.06858976422
207	0.06687502009
208	0.06520314456
209	0.06357306592
210	0.06198373925
211	0.06043414575
212	0.05892329208
213	0.05745020976
214	0.05601395449
215	0.05461360561
216	0.05324826545
217	0.05191705879
218	0.05066825746
219	0.04940155101
220	0.04816651221
221	0.04701553546
222	0.04584014705
223	0.04469414336
224	0.04357678976
225	0.04248737
226	0.04142518573
227	0.04038955607
228	0.03937981716
229	0.03839532171
230	0.03743543866
231	0.03649955267
232	0.03558706384
233	0.03469738724
234	0.03382995254
235	0.03305986387
236	0.03223336726
237	0.03142753307
238	0.03064184473
239	0.0298757986
240	0.02912890363
241	0.02842674191
242	0.02771607335
243	0.0270231715
244	0.02634759221
245	0.02568890239
246	0.02504667982
247	0.02442051282
248	0.02380999999
249	0.02321474998
250	0.02263438122
251	0.02226806767
252	0.02171136597
253	0.02116858182
254	0.02063936726
255	0.02012338307
256	0.01963144307
257	0.01914065698
258	0.01866214055
259	0.01819558703
260	0.01774069735
261	0.0173801328
262	0.01694562947
263	0.01652198873
264	0.01613890472
265	0.01573543209
266	0.01534204629
267	0.01495849512
268	0.01458453274
269	0.01421991941
270	0.01386442142
271	0.01351781088
272	0.01317986561
273	0.01285036896
274	0.01252910973
275	0.01223027576
276	0.01192451887
277	0.01162640589
278	0.01136703614
279	0.01108286023
280	0.01080578872
281	0.010535644
282	0.0102722529
283	0.01001544657
284	0.009779464673
285	0.009534978053
286	0.009296603598
287	0.009064188505
288	0.008837583789
289	0.008616644191
290	0.008401228083
291	0.008191197377
292	0.007998122207
293	0.007798169149
294	0.007603214918
295	0.007413134542
296	0.007227806175
297	0.007047111018
298	0.00687093324
299	0.006699159907
300	0.006531680907
301	0.006379883633
302	0.00622038654
303	0.006064876874
304	0.00591325495
305	0.005791669156
306	0.005646877424
307	0.005505705487
308	0.005368062848
309	0.005266907876
310	0.005135235177
311	0.005006854296
312	0.004881682937
313	0.004759640861
314	0.004640649838
315	0.00452463359
316	0.004411517749
317	0.004307725396
318	0.004205985937
319	0.004100836287
320	0.003998315378
321	0.003898357492
322	0.003800898553
323	0.003705876088
324	0.003613229184
325	0.003522898453
326	0.003434825991
327	0.00334895534
328	0.003297833348
329	0.003215387513
330	0.003135002824
331	0.003059034246
332	0.002982558389
333	0.002907994428
334	0.002835294566
335	0.002764412201
336	0.002699365705
337	0.002631881561
338	0.002566084521
339	0.002501932407
340	0.002439384096
341	0.002378399493
342	0.002318939505
343	0.002260966016
344	0.002204441865
345	0.002162138269
346	0.002108084812
347	0.002055382691
348	0.002003998122
349	0.001958092999
350	0.001909140673
351	0.001861412156
352	0.001814876851
353	0.001769504929
354	0.001725267305
355	0.001682135622
356	0.001640082231
357	0.001599080174
358	0.001559103169
359	0.00152012559
360	0.001499635152
361	0.001462144273
362	0.001425590666
363	0.001395291126
364	0.001360408847
365	0.001327657088
366	0.00129446566
367	0.001262104018
368	0.001230551417
369	0.001199787631
370	0.001171081669
371	0.001141804627
372	0.001113259511
373	0.001085428023
374	0.001058292322
375	0.001031835013
376	0.001006039137
377	0.0009808881586
378	0.0009563659543
379	0.0009382812515
380	0.0009148242199
381	0.000891953614
382	0.0008720048278
383	0.0008502047068
