iter	Passed	Remaining
583	433571	308845
584	434537	308261
585	435133	307415
586	435635	306503
587	435768	305334
588	436738	304753
589	437787	304225
590	438873	303721
591	439115	302633
592	439234	301464
593	440260	300918
594	441330	300401
595	442337	299839
596	442823	298924
597	443887	298399
598	444132	297324
599	445119	296746
600	445409	295704
601	445703	294668
602	446640	294056
603	447650	293492
604	447890	292424
605	448129	291358
606	448371	290296
607	449438	289769
608	450628	289319
609	450870	288261
610	451417	287400
611	452503	286881
612	452626	285753
613	453789	285281
614	454041	284237
615	455106	283703
616	456218	283195
617	457377	282715
618	458526	282227
619	459407	281572
620	459950	280710
621	460212	279679
622	461127	279045
623	462193	278501
624	463171	277903
625	464150	277304
626	465101	276687
627	466348	276244
628	467511	275750
629	467622	274635
630	468834	274167
631	469480	273368
632	470035	272516
633	470719	271740
634	472029	271324
635	473054	270741
636	473550	269856
637	474051	268975
638	475164	268442
639	476183	267853
640	476681	266971
641	477691	266376
642	478727	265794
643	479729	265191
644	480846	264651
645	481864	264055
646	482173	263071
647	482846	262286
648	483968	261745
649	484258	260754
650	484907	259957
651	486035	259417
652	486607	258579
653	487891	258119
654	488202	257145
655	488497	256163
656	489582	255596
657	490650	255019
658	491724	254443
659	492279	253598
660	493352	253020
661	494356	252405
662	495195	251705
663	495444	250706
664	495975	249852
665	496909	249200
666	497908	248580
667	498157	247587
668	499143	246960
669	500112	246324
670	501091	245691
671	502074	245059
672	503047	244422
673	503518	243541
674	504391	242854
675	504903	241995
676	505559	241204
677	506624	240609
678	506956	239665
679	507084	238628
680	507592	237770
681	509084	237373
682	510172	236785
683	511312	236220
684	511830	235367
685	512340	234511
686	513365	233891
687	514481	233311
688	515593	232728
689	516986	232269
690	518237	231744
691	518861	230938
692	519939	230333
693	520512	229505
694	521111	228689
695	521669	227855
696	522231	227024
697	522939	226257
698	524107	225688
699	525127	225054
700	525374	224089
701	526346	223434
702	526595	222473
703	527609	221835
704	528584	221180
705	529739	220599
706	530919	220027
707	532181	219487
708	533286	218880
709	534497	218315
710	535558	217688
711	535789	216723
712	536767	216062
713	537746	215399
714	538743	214743
715	539768	214098
716	540434	213309
717	540943	212459
718	541840	211762
719	542338	210909
720	543314	210242
721	543555	209291
722	543794	208341
723	544033	207393
724	545184	206793
725	546364	206203
726	547429	205568
727	548441	204912
728	549427	204245
729	549804	203352
730	551055	202782
731	552322	202216
732	553390	201575
733	553524	200596
734	554085	199772
735	554392	198858
736	555578	198259
737	556644	197616
738	557645	196949
739	558743	196315
740	559874	195691
741	561098	195099
742	562120	194434
743	563245	193804
744	564481	193211
745	565585	192572
746	566645	191916
747	567210	191092
748	567855	190295
749	568434	189478
750	569306	188758
751	570379	188104
752	571455	187449
753	572495	186782
754	573545	186117
755	574537	185432
756	575508	184740
757	576509	184057
758	576988	183207
759	577473	182360
760	578581	181709
761	579713	181065
762	580810	180409
763	581800	179718
764	582809	179032
765	583785	178336
766	584263	177488
767	584378	176531
768	585351	175833
769	586325	175136
770	587175	174401
771	587682	173564
772	588287	172757
773	589225	172047
774	589718	171208
775	590199	170366
776	591174	169667
777	592161	168971
778	593146	168273
779	594124	167573
780	594630	166740
781	595584	166032
782	596054	165190
783	596166	164249
784	597172	163556
785	597287	162620
786	597896	161819
787	598999	161152
788	600007	160458
789	601091	159783
790	602126	159095
791	602766	158302
792	602885	157373
793	602942	156430
794	603440	155604
795	603980	154788
796	604263	153908
797	605091	153168
798	606050	152460
799	607051	151762
800	608104	151077
801	608493	150226
802	609707	149579
803	610913	148929
804	611932	148232
805	612941	147531
806	613981	146838
807	615293	146208
808	616325	145510
809	616811	144684
810	617991	144020
811	619317	143388
812	620556	142735
813	621895	142103
814	622948	141405
815	624048	140716
816	624554	139894
817	625611	139194
818	626273	138407
819	626834	137597
820	627827	136883
821	629123	136233
822	630528	135605
823	631806	134948
824	633127	134299
825	634336	133625
826	634978	132830
827	636132	132143
828	637364	131470
829	638539	130785
830	639718	130099
831	639851	129200
832	640952	128498
833	641559	127696
834	642606	126982
835	643627	126261
836	644667	125544
837	645598	124805
838	645891	123943
839	646651	123171
840	646896	122302
841	647381	121480
842	648395	120756
843	648930	119944
844	650082	119245
845	651203	118540
846	652371	117842
847	652631	116981
848	653734	116270
849	654856	115562
850	655446	114760
851	655738	113907
852	656820	113191
853	658095	112508
854	659245	111801
855	660506	111113
856	661189	110326
857	662006	109562
858	662577	108758
859	663791	108059
860	665070	107369
861	665483	106539
862	666592	105820
863	667683	105098
864	667816	104225
865	668966	103512
866	670044	102786
867	671448	102109
868	672926	101442
869	674081	100724
870	675250	100008
871	676269	99268
872	677470	98555
873	677717	97703
874	678320	96902
875	679608	96200
876	681194	95538
877	681945	94757
878	683340	94066
879	684644	93360
880	685784	92631
881	686439	91836
882	687554	91102
883	688558	90353
884	689722	89624
885	690941	88902
886	691618	88109
887	692949	87399
888	694305	86690
889	695878	86007
890	697224	85294
891	697350	84432
892	698245	83664
893	699531	82942
894	700274	82155
895	700550	81313
896	702327	80646
897	704287	79997
898	706375	79359
899	706799	78533
900	707573	77746
901	709373	77071
902	710599	76332
903	711715	75580
904	712261	74767
905	713444	74021
906	714686	73281
907	714942	72439
908	715917	71670
909	716471	70859
910	716609	70009
911	717447	69227
912	718546	68470
913	718777	67631
914	719797	66866
915	721042	66121
916	722104	65359
917	722251	64514
918	722614	63690
919	722889	62859
920	724059	62107
921	725177	61349
922	726183	60580
923	726419	59748
924	727011	58946
925	728090	58184
926	728670	57381
927	729934	56632
928	730586	55836
929	731628	55068
930	732666	54300
931	733875	53544
932	734915	52775
933	736159	52019
934	737188	51248
935	737773	50446
936	738270	49638
937	739089	48852
938	740048	48075
939	741025	47299
940	742021	46524
941	743136	45755
942	743347	44931
943	744305	44153
944	745190	43370
945	746107	42589
946	746551	41781
947	747047	40977
948	747156	40152
949	747730	39354
950	747945	38537
951	748985	37763
952	749954	36986
953	750846	36204
954	751784	35424
955	752732	34644
956	753713	33865
957	754651	33084
958	755601	32304
959	756141	31505
960	757112	30725
961	758040	29943
962	758710	29150
963	759556	28365
964	760462	27581
965	760910	26781
966	761127	25974
967	762053	25191
968	762277	24386
969	763214	23604
970	764205	22823
971	764666	22027
972	765645	21246
973	766574	20462
974	767272	19673
975	767764	18879
976	768008	18080
977	768918	17296
978	769405	16504
979	770447	15723
980	770892	14930
981	771855	14148
982	772791	13364
983	773244	12573
984	774106	11788
985	774611	10998
986	775086	10208
987	775941	9424
988	776871	8640
989	777759	7856
990	778808	7072
991	779791	6288
992	780758	5503
993	781638	4718
994	782071	3930
995	782949	3144
996	783400	2357
997	783565	1570
998	783810	784
999	784299	0
