,full_date,104
0,2018-04-29,2.590909090909091
1,2018-04-30,8.291193181818182
2,2018-05-01,10.148148148148149
3,2018-05-02,12.345833333333331
4,2018-05-03,18.263377345378736
5,2018-05-04,28.00695894224078
6,2018-05-05,18.15427380125087
7,2018-05-06,16.06875
8,2018-05-07,9.1483286908078
9,2018-05-08,12.764419735927728
10,2018-05-09,13.45100764419736
11,2018-05-10,14.691125087351502
12,2018-05-11,10.986254295532646
13,2018-05-12,9.85952712100139
14,2018-05-13,9.953472222222222
15,2018-05-14,14.60778859527121
16,2018-05-15,22.30688935281837
17,2018-05-16,13.404596100278551
18,2018-05-17,10.521892655367232
19,2018-05-18,8.14804469273743
20,2018-05-19,13.99166087560806
21,2018-05-20,16.168984700973574
22,2018-05-21,19.84968684759917
23,2018-05-22,9.701112877583466
24,2018-05-23,6.909027777777778
25,2018-05-24,9.660153524075366
26,2018-05-25,11.759134973900077
27,2018-05-26,19.116747741487146
28,2018-05-27,10.284225156358582
29,2018-05-28,7.128591954022989
30,2018-05-29,9.224113475177305
31,2018-05-30,5.555183946488294
32,2018-05-31,9.26624203821656
33,2018-06-01,13.416724738675958
34,2018-06-02,7.504861111111111
35,2018-06-03,21.59483960948396
36,2018-06-04,7.987482614742698
37,2018-06-05,11.561196105702363
38,2018-06-06,10.205555555555556
39,2018-06-07,8.46383866481224
40,2018-06-08,21.867826086956523
41,2018-06-09,14.363004172461752
42,2018-06-10,12.111883252258512
43,2018-06-11,9.751216122307158
44,2018-06-12,6.437762237762238
45,2018-06-13,9.002777777777778
46,2018-06-14,10.452761627906977
47,2018-06-15,11.369080779944287
48,2018-06-16,10.043055555555556
49,2018-06-17,18.002084781097984
50,2018-06-18,7.70653685674548
51,2018-06-19,10.06601806810285
52,2018-06-20,8.226008344923505
53,2018-06-21,8.034361851332399
54,2018-06-22,7.389628591450595
55,2018-06-23,9.361805555555556
56,2018-06-24,7.9
57,2018-06-25,6.272980501392758
58,2018-06-26,7.922863099374566
59,2018-06-27,15.666666666666666
60,2018-06-28,13.811797752808989
61,2018-06-29,16.853862212943632
62,2018-06-30,12.161805555555556
63,2018-07-01,10.480194579569146
64,2018-07-02,9.579679888656925
65,2018-07-03,8.594162612925643
66,2018-07-04,11.452331245650662
67,2018-07-05,12.313888888888888
68,2018-07-06,13.815277777777778
69,2018-07-07,16.481944444444444
70,2018-07-08,13.660416666666666
71,2018-07-09,7.189979123173278
72,2018-07-10,16.518055555555556
73,2018-07-11,13.440583738707437
74,2018-07-12,7.804166666666666
75,2018-07-13,9.816584680252989
76,2018-07-14,12.496177901320362
77,2018-07-15,9.584144645340752
78,2018-07-16,8.936849410131853
79,2018-07-17,9.741800418702024
80,2018-07-18,13.37178596247394
81,2018-07-19,18.496503496503497
82,2018-07-20,18.93055555555556
83,2018-07-21,17.05763888888889
84,2018-07-22,14.10709318497914
85,2018-07-23,15.421319796954316
86,2018-07-24,14.060674157303373
87,2018-07-25,16.05253283302064
88,2018-07-26,13.48875
89,2018-07-27,11.417361111111113
90,2018-07-28,15.534027777777778
91,2018-07-29,12.847916666666666
92,2018-07-30,14.31875
93,2018-07-31,11.850590687977762
94,2018-08-01,16.32030651340996
95,2018-08-02,15.303683113273106
96,2018-08-03,11.042538354253836
97,2018-08-04,12.95625
98,2018-08-05,11.539638386648122
99,2018-08-06,13.711048158640226
100,2018-08-07,17.28919860627178
101,2018-08-08,10.223954642097803
102,2018-08-09,13.315240083507309
103,2018-08-10,12.425680390788555
104,2018-08-11,16.93402777777778
105,2018-08-12,18.76388888888889
106,2018-08-13,11.25763888888889
107,2018-08-14,17.225
108,2018-08-15,20.55309396485867
109,2018-08-16,18.096527777777776
110,2018-08-17,10.296527777777778
111,2018-08-18,11.771210013908206
112,2018-08-19,11.414583333333333
113,2018-08-20,11.595552466990966
114,2018-08-21,18.86657400972898
115,2018-08-22,9.769284225156358
116,2018-08-23,21.073713490959666
117,2018-08-24,14.801952580195255
118,2018-08-25,15.024322446143154
119,2018-08-26,12.98608211551844
120,2018-08-27,8.69513888888889
121,2018-08-28,14.792361111111113
122,2018-08-29,8.20486111111111
123,2018-08-30,11.653231410701876
124,2018-08-31,9.134120917303685
125,2018-09-01,14.88263888888889
126,2018-09-02,15.64861111111111
127,2018-09-03,17.72013888888889
128,2018-09-04,19.48612440191388
129,2018-09-05,20.447041636230825
130,2018-09-06,17.530993278566093
131,2018-09-07,24.831015299026426
132,2018-09-08,16.779166666666665
133,2018-09-09,22.855555555555554
134,2018-09-10,3.042390548992356
135,2018-09-11,18.82986111111111
136,2018-09-12,14.884027777777778
137,2018-09-13,16.976372480889506
138,2018-09-14,25.366979091564527
139,2018-09-15,24.630993745656703
140,2018-09-16,15.564583333333331
141,2018-09-17,13.536111111111111
142,2018-09-18,17.075
143,2018-09-19,24.900625434329395
144,2018-09-20,26.99652777777778
145,2018-09-21,16.32777777777778
146,2018-09-22,18.931202223766505
147,2018-09-23,18.57986111111111
148,2018-09-24,8.046592489568846
149,2018-09-25,12.488873435326845
150,2018-09-26,19.23087621696801
151,2018-09-27,24.718475073313783
152,2018-09-28,19.76719944405837
153,2018-09-29,27.458594293667364
154,2018-09-30,30.886031966643504
155,2018-10-01,36.58692628650904
156,2018-10-02,23.993050729673385
157,2018-10-03,30.574009728978456
158,2018-10-04,35.15079916608756
159,2018-10-05,28.034051424600417
160,2018-10-06,18.2561797752809
161,2018-10-07,17.159027777777776
162,2018-10-08,14.689149560117302
163,2018-10-09,30.36458333333333
164,2018-10-10,33.66573816155989
