Horizon,input_size,hidden_size,lr,dilations,best_epoch,MAPE_30d,MAPE_60d,MAPE_90d,MAPE_120d,MAPE_150d,MAPE_180d,MAPE_240d,MAPE_300d,MAPE_360d,MAPE_480d,MAPE_600d,MAPE_720d,MAPE_1785d,MAPE_3514d,MAPE_7350d,MAPE_13560d,MAPE_18810d,MAPE_29520d,MAPE_41610d
7,14,256,0.00010997525530333322,"(1, 2, 4)",74,53.14125442504883,33.24714660644531,27.039934158325195,29.762887954711914,27.71483039855957,26.18344497680664,25.329004287719727,25.652034759521484,27.16976547241211,28.507293701171875,27.522249221801758,35.0836067199707,36.95570755004883,,,,,,
14,26,256,0.006276187799367813,"(4, 8, 16)",34,46.914852142333984,31.220117568969727,38.93037796020508,33.237335205078125,28.7609806060791,26.224430084228516,28.650402069091797,34.43782043457031,44.996829986572266,58.38118362426758,52.216548919677734,64.35474395751953,,60.943485260009766,,,,,
30,37,128,0.0020307055784137868,"(1, 2, 4)",73,25.625925064086914,32.44001007080078,145.7899932861328,143.648681640625,126.91920471191406,109.20439147949219,94.12568664550781,89.7140884399414,84.26559448242188,85.79010772705078,75.38400268554688,66.94793701171875,,,71.9173812866211,,,,
60,105,128,0.004865429667317239,"(2, 4, 7)",52,33.377891540527344,31.923471450805664,68.67250061035156,61.19913864135742,54.54243469238281,48.71134948730469,61.98716735839844,61.412357330322266,55.25031280517578,48.31660842895508,43.48691940307617,45.27378845214844,,,,77.01268768310547,,,
90,158,256,0.00036235329436449626,"(1, 2, 4)",72,9.995176315307617,95.13231658935547,78.1002197265625,63.88146209716797,60.04553985595703,88.6450424194336,80.5780029296875,68.34284973144531,60.412132263183594,65.5550537109375,65.8217544555664,57.90163803100586,,,,,52.03178787231445,,
180,296,32,0.004120124055533478,"(4, 8, 16)",74,426.69329833984375,491.2125244140625,434.0449523925781,353.2741394042969,339.5050048828125,357.6397705078125,278.7948913574219,448.3046875,459.33319091796875,458.4134826660156,387.6614990234375,349.1846618652344,,,,,,405.1764221191406,
365,359,64,0.009177988186327587,"(2, 4, 7)",24,60.52260208129883,48.12199783325195,48.18487548828125,71.47140502929688,105.16271209716797,133.69085693359375,287.66064453125,236.4152069091797,243.49127197265625,216.57275390625,359.33355712890625,310.9696960449219,,,,,,,342.3562927246094
