,sensor,train_label,transformation,model_name,MAPE,Errors,file_path
2_26M_train_original_SeasonalExponentialSmoothingOptimized_1b37939e,2,26M_train,original,SeasonalExponentialSmoothingOptimized,38.57247763102388,"{'test_30_days': 43.93441450300305, 'test_60_days': 42.577671486964455, 'test_90_days': 39.45168676919039, 'test_120_days': 38.43416236513983, 'test_150_days': 36.458047964847104, 'test_180_days': 30.590853950115626, 'test_240_days': 35.99258774947298, 'test_300_days': 39.767397760546366, 'test_360_days': 40.99562275640123, 'test_480_days': 38.58542846407829, 'test_600_days': 38.57247763102388, 'test_720_days': 38.57247763102388, 'test_494_days': 38.57247763102388}",results/run_5/2_26M_train_original_SeasonalExponentialSmoothingOptimized_1b37939e.joblib
2_26M_train_log_SeasonalExponentialSmoothingOptimized_41634bfe,2,26M_train,log,SeasonalExponentialSmoothingOptimized,38.573600831383665,"{'test_30_days': 44.01621401751225, 'test_60_days': 42.64647665117778, 'test_90_days': 39.507404394465354, 'test_120_days': 38.48761883611099, 'test_150_days': 36.505555009848074, 'test_180_days': 30.630597566162702, 'test_240_days': 36.008013431841604, 'test_300_days': 39.76987187287311, 'test_360_days': 40.98886545865293, 'test_480_days': 38.58793905896141, 'test_600_days': 38.573600831383665, 'test_720_days': 38.573600831383665, 'test_494_days': 38.573600831383665}",results/run_5/2_26M_train_log_SeasonalExponentialSmoothingOptimized_41634bfe.joblib
2_26M_train_trend_MSTL_Additive_1cfd9223,2,26M_train,trend,MSTL_Additive,46.81094774484128,"{'test_30_days': 88.84122369527245, 'test_60_days': 84.09961660755117, 'test_90_days': 79.16259482312543, 'test_120_days': 75.32974007693056, 'test_150_days': 69.38647909878577, 'test_180_days': 62.49989004578354, 'test_240_days': 57.11320470591489, 'test_300_days': 54.90787130642635, 'test_360_days': 53.28194909556103, 'test_480_days': 47.48376640769493, 'test_600_days': 46.81094774484128, 'test_720_days': 46.81094774484128, 'test_494_days': 46.81094774484128}",results/run_5/2_26M_train_trend_MSTL_Additive_1cfd9223.joblib
2_26M_train_boxcox_AutoCES_93979142,2,26M_train,boxcox,AutoCES,29.233664264174447,"{'test_30_days': 16.051656727997226, 'test_60_days': 20.813968751912924, 'test_90_days': 22.5351602403768, 'test_120_days': 21.677729328461183, 'test_150_days': 21.815823746833306, 'test_180_days': 18.854166980034343, 'test_240_days': 24.524335385441265, 'test_300_days': 27.947257190050966, 'test_360_days': 28.799753376772003, 'test_480_days': 29.31160102251183, 'test_600_days': 29.233664264174447, 'test_720_days': 29.233664264174447, 'test_494_days': 29.233664264174447}",results/run_5/2_26M_train_boxcox_AutoCES_93979142.joblib
2_26M_train_trend_boxcox_MSTL_Additive_0208761e,2,26M_train,trend_boxcox,MSTL_Additive,46.81094774484128,"{'test_30_days': 88.84122369527245, 'test_60_days': 84.09961660755117, 'test_90_days': 79.16259482312543, 'test_120_days': 75.32974007693056, 'test_150_days': 69.38647909878577, 'test_180_days': 62.49989004578354, 'test_240_days': 57.11320470591489, 'test_300_days': 54.90787130642635, 'test_360_days': 53.28194909556103, 'test_480_days': 47.48376640769493, 'test_600_days': 46.81094774484128, 'test_720_days': 46.81094774484128, 'test_494_days': 46.81094774484128}",results/run_5/2_26M_train_trend_boxcox_MSTL_Additive_0208761e.joblib
2_24M_train_original_MFLES2_93510409,2,24M_train,original,MFLES2,33.15372820958756,"{'test_30_days': 22.99435220892055, 'test_60_days': 29.175911001771283, 'test_90_days': 27.678950886214093, 'test_120_days': 28.582048731255334, 'test_150_days': 27.701642283157707, 'test_180_days': 25.986425408047182, 'test_240_days': 25.949749114853677, 'test_300_days': 29.645254022023742, 'test_360_days': 33.88833331727927, 'test_480_days': 33.85934123221949, 'test_600_days': 33.15372820958756, 'test_720_days': 33.15372820958756, 'test_555_days': 33.15372820958756}",results/run_5/2_24M_train_original_MFLES2_93510409.joblib
2_24M_train_log_AutoTBATS_7c23fab7,2,24M_train,log,AutoTBATS,32.32405028345748,"{'test_30_days': 24.122493168229678, 'test_60_days': 29.119312467086882, 'test_90_days': 26.78816865258345, 'test_120_days': 27.953489084205202, 'test_150_days': 27.484003942769746, 'test_180_days': 25.953453182367898, 'test_240_days': 25.74403968530547, 'test_300_days': 29.008870259693854, 'test_360_days': 32.91753559610114, 'test_480_days': 33.11098338452826, 'test_600_days': 32.32405028345748, 'test_720_days': 32.32405028345748, 'test_555_days': 32.32405028345748}",results/run_5/2_24M_train_log_AutoTBATS_7c23fab7.joblib
2_24M_train_boxcox_AutoTBATS_a864d3c0,2,24M_train,boxcox,AutoTBATS,32.84250586018271,"{'test_30_days': 22.876682645466964, 'test_60_days': 27.427426875352367, 'test_90_days': 25.085718724862833, 'test_120_days': 26.473787944399547, 'test_150_days': 26.026369693198536, 'test_180_days': 24.48140725113562, 'test_240_days': 24.501641346889087, 'test_300_days': 28.288293951684096, 'test_360_days': 32.61935061938945, 'test_480_days': 33.33567449313139, 'test_600_days': 32.84250586018271, 'test_720_days': 32.84250586018271, 'test_555_days': 32.84250586018271}",results/run_5/2_24M_train_boxcox_AutoTBATS_a864d3c0.joblib
2_24M_train_log_seasonality_MFLES2_20096ca0,2,24M_train,log_seasonality,MFLES2,49.88845016786139,"{'test_30_days': 16.182430463800753, 'test_60_days': 20.257443111603703, 'test_90_days': 26.57328560159677, 'test_120_days': 27.984009396758726, 'test_150_days': 30.194199312499737, 'test_180_days': 28.239921816145593, 'test_240_days': 27.634148766487694, 'test_300_days': 33.62107593952311, 'test_360_days': 33.87917190895677, 'test_480_days': 48.785109164738344, 'test_600_days': 49.88845016786139, 'test_720_days': 49.88845016786139, 'test_555_days': 49.88845016786139}",results/run_5/2_24M_train_log_seasonality_MFLES2_20096ca0.joblib
2_24M_train_trend_seasonality_AutoCES_151a2aff,2,24M_train,trend_seasonality,AutoCES,41.44360794445944,"{'test_30_days': 41.89138441627703, 'test_60_days': 36.29682144107414, 'test_90_days': 31.420389876946203, 'test_120_days': 30.83451773331526, 'test_150_days': 31.371447640833583, 'test_180_days': 33.75532711630852, 'test_240_days': 35.97794478365983, 'test_300_days': 41.40538725632529, 'test_360_days': 42.726233523933686, 'test_480_days': 42.95967687905391, 'test_600_days': 41.44360794445944, 'test_720_days': 41.44360794445944, 'test_555_days': 41.44360794445944}",results/run_5/2_24M_train_trend_seasonality_AutoCES_151a2aff.joblib
2_24M_train_log_seasonality_boxcox_MFLES2_2be5e048,2,24M_train,log_seasonality_boxcox,MFLES2,43.74863189800103,"{'test_30_days': 17.43777673167419, 'test_60_days': 18.98440565608455, 'test_90_days': 21.699387118644843, 'test_120_days': 21.858050302674283, 'test_150_days': 23.026700602770784, 'test_180_days': 22.005507286423175, 'test_240_days': 24.48808245808481, 'test_300_days': 31.857562166769544, 'test_360_days': 32.87081737115635, 'test_480_days': 43.649043311824016, 'test_600_days': 43.74863189800103, 'test_720_days': 43.74863189800103, 'test_555_days': 43.74863189800103}",results/run_5/2_24M_train_log_seasonality_boxcox_MFLES2_2be5e048.joblib
2_24M_train_trend_seasonality_boxcox_AutoCES_15b4b13d,2,24M_train,trend_seasonality_boxcox,AutoCES,41.44360794445944,"{'test_30_days': 41.89138441627703, 'test_60_days': 36.29682144107414, 'test_90_days': 31.420389876946203, 'test_120_days': 30.83451773331526, 'test_150_days': 31.371447640833583, 'test_180_days': 33.75532711630852, 'test_240_days': 35.97794478365983, 'test_300_days': 41.40538725632529, 'test_360_days': 42.726233523933686, 'test_480_days': 42.95967687905391, 'test_600_days': 41.44360794445944, 'test_720_days': 41.44360794445944, 'test_555_days': 41.44360794445944}",results/run_5/2_24M_train_trend_seasonality_boxcox_AutoCES_15b4b13d.joblib
2_22M_train_original_SeasonalExponentialSmoothingOptimized_955d51a8,2,22M_train,original,SeasonalExponentialSmoothingOptimized,35.57759858054915,"{'test_30_days': 32.254484150180424, 'test_60_days': 35.34548189389524, 'test_90_days': 34.01707205042856, 'test_120_days': 33.37839695758414, 'test_150_days': 31.522015875067115, 'test_180_days': 30.913660333760024, 'test_240_days': 28.320797746703214, 'test_300_days': 24.6422241628399, 'test_360_days': 30.10907465906149, 'test_480_days': 35.543505023612475, 'test_600_days': 35.784269754344635, 'test_720_days': 35.57759858054915, 'test_614_days': 35.57759858054915}",results/run_5/2_22M_train_original_SeasonalExponentialSmoothingOptimized_955d51a8.joblib
2_22M_train_log_AutoTBATS_865a1ce2,2,22M_train,log,AutoTBATS,31.51908843776625,"{'test_30_days': 24.88775297683915, 'test_60_days': 29.41676418719109, 'test_90_days': 30.6118213677397, 'test_120_days': 33.67717364266527, 'test_150_days': 33.90544539250001, 'test_180_days': 34.582861804715584, 'test_240_days': 33.26392081260253, 'test_300_days': 30.92325338367988, 'test_360_days': 32.264367176832046, 'test_480_days': 33.1122329952613, 'test_600_days': 31.727530042571527, 'test_720_days': 31.51908843776625, 'test_614_days': 31.51908843776625}",results/run_5/2_22M_train_log_AutoTBATS_865a1ce2.joblib
2_22M_train_trend_AutoARIMA_39931079,2,22M_train,trend,AutoARIMA,47.442694065342224,"{'test_30_days': 60.242075501688305, 'test_60_days': 52.700828455441886, 'test_90_days': 41.46695804857966, 'test_120_days': 37.41546128736684, 'test_150_days': 37.62732569367891, 'test_180_days': 35.172984017953254, 'test_240_days': 32.029032935858496, 'test_300_days': 32.140549078804284, 'test_360_days': 37.155616606077764, 'test_480_days': 41.23235927710241, 'test_600_days': 48.033039253150456, 'test_720_days': 47.442694065342224, 'test_614_days': 47.442694065342224}",results/run_5/2_22M_train_trend_AutoARIMA_39931079.joblib
2_22M_train_seasonality_SeasonalExponentialSmoothingOptimized_3a35124d,2,22M_train,seasonality,SeasonalExponentialSmoothingOptimized,35.57759858054915,"{'test_30_days': 32.254484150180424, 'test_60_days': 35.34548189389524, 'test_90_days': 34.01707205042856, 'test_120_days': 33.37839695758414, 'test_150_days': 31.522015875067115, 'test_180_days': 30.913660333760024, 'test_240_days': 28.320797746703214, 'test_300_days': 24.6422241628399, 'test_360_days': 30.10907465906149, 'test_480_days': 35.543505023612475, 'test_600_days': 35.784269754344635, 'test_720_days': 35.57759858054915, 'test_614_days': 35.57759858054915}",results/run_5/2_22M_train_seasonality_SeasonalExponentialSmoothingOptimized_3a35124d.joblib
2_22M_train_boxcox_AutoTBATS_6a5545f5,2,22M_train,boxcox,AutoTBATS,30.59067281966016,"{'test_30_days': 26.257384231011176, 'test_60_days': 29.74212897273431, 'test_90_days': 31.142854218012467, 'test_120_days': 34.02382220271838, 'test_150_days': 34.17694426275615, 'test_180_days': 34.64562148702549, 'test_240_days': 33.012497617162396, 'test_300_days': 31.057694842416673, 'test_360_days': 32.060509777788695, 'test_480_days': 32.36595475484248, 'test_600_days': 30.894028781039662, 'test_720_days': 30.59067281966016, 'test_614_days': 30.59067281966016}",results/run_5/2_22M_train_boxcox_AutoTBATS_6a5545f5.joblib
2_22M_train_log_seasonality_AutoTBATS_6185ce80,2,22M_train,log_seasonality,AutoTBATS,31.51908843776625,"{'test_30_days': 24.88775297683915, 'test_60_days': 29.41676418719109, 'test_90_days': 30.6118213677397, 'test_120_days': 33.67717364266527, 'test_150_days': 33.90544539250001, 'test_180_days': 34.582861804715584, 'test_240_days': 33.26392081260253, 'test_300_days': 30.92325338367988, 'test_360_days': 32.264367176832046, 'test_480_days': 33.1122329952613, 'test_600_days': 31.727530042571527, 'test_720_days': 31.51908843776625, 'test_614_days': 31.51908843776625}",results/run_5/2_22M_train_log_seasonality_AutoTBATS_6185ce80.joblib
2_22M_train_trend_seasonality_AutoARIMA_337bdc25,2,22M_train,trend_seasonality,AutoARIMA,47.442694065342224,"{'test_30_days': 60.242075501688305, 'test_60_days': 52.700828455441886, 'test_90_days': 41.46695804857966, 'test_120_days': 37.41546128736684, 'test_150_days': 37.62732569367891, 'test_180_days': 35.172984017953254, 'test_240_days': 32.029032935858496, 'test_300_days': 32.140549078804284, 'test_360_days': 37.155616606077764, 'test_480_days': 41.23235927710241, 'test_600_days': 48.033039253150456, 'test_720_days': 47.442694065342224, 'test_614_days': 47.442694065342224}",results/run_5/2_22M_train_trend_seasonality_AutoARIMA_337bdc25.joblib
2_22M_train_trend_boxcox_AutoARIMA_9d36da24,2,22M_train,trend_boxcox,AutoARIMA,47.442694065342224,"{'test_30_days': 60.242075501688305, 'test_60_days': 52.700828455441886, 'test_90_days': 41.46695804857966, 'test_120_days': 37.41546128736684, 'test_150_days': 37.62732569367891, 'test_180_days': 35.172984017953254, 'test_240_days': 32.029032935858496, 'test_300_days': 32.140549078804284, 'test_360_days': 37.155616606077764, 'test_480_days': 41.23235927710241, 'test_600_days': 48.033039253150456, 'test_720_days': 47.442694065342224, 'test_614_days': 47.442694065342224}",results/run_5/2_22M_train_trend_boxcox_AutoARIMA_9d36da24.joblib
