Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_600_days,test_720_days,test_1093_days
prophet,,43.35236524586384,50.55494480697804,59.649824276640594,64.51529158464979,65.46628102065092,59.46053564934643,51.77710721811481,46.534616478041016,43.73051788084063,48.72316274961688,48.26895768033055,46.80653711139552,47.1655084959102
prophet,AutoDifferences(max_diffs=101),55.24733202852894,62.024158618137385,61.72758820120221,72.46611202581889,125.6236784387897,276.3326071852127,1031.1031250569747,1851.3641182792392,2509.7275328261044,2526.6470033041287,3880.7030938187318,7229.01178325201,19384.931520024194
prophet,"AutoSeasonalDifferences(max_diffs=101, n_seasons=10, season_length=67)",43.35236524586384,50.55494480697804,59.649824276640594,64.51529158464979,65.46628102065092,59.46053564934643,51.77710721811481,46.534616478041016,43.73051788084063,48.72316274961688,48.26895768033055,46.80653711139552,47.1655084959102
prophet,"AutoSeasonalityAndDifferences(max_diffs=101, max_season_length=67, n_seasons=10)",43.35236524586384,50.55494480697804,59.649824276640594,64.51529158464979,65.46628102065092,59.46053564934643,51.77710721811481,46.534616478041016,43.73051788084063,48.72316274961688,48.26895768033055,46.80653711139552,47.1655084959102
prophet,LocalStandardScaler(stats_=[[19.77727367  8.83497709]]),86.29453124631131,101.61900495167973,105.90146980843352,109.07924910155533,114.2092076303035,143.9443730833601,175.4454517853434,199.69431816429795,177.40588893986254,181.2876175596142,227.1824072298303,257.86411540236634,397.5903696389118
prophet,LocalMinMaxScaler(stats_=[[ 5.1691023  68.51939945]]),44.038673699519244,51.42289501850181,60.403833776258764,65.21142854355672,66.16771992375496,59.96740853428686,52.2065558703457,46.73030749800356,43.59035522449238,48.644815937007934,47.66031974251308,45.55795892861752,45.16625830292027
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.00295326e-321]], upper=2.0)",59.154177232491314,46.19898810620361,50.186342200252,52.53472726654251,49.7690532165631,46.39487862084266,43.74477668749723,40.379332833593814,37.77960886703252,40.03447221749292,38.037708916508194,38.47738013677612,51.98088957363902
prophet,AutoDifferences(max_diffs=101) | LocalStandardScaler(stats_=[[-0.00998688  7.22940651]]),56.585120146046485,64.41479368602245,64.25291920609718,75.62962334735002,130.6318401671067,285.997577807814,1065.1960342631514,1911.289364638991,2590.3043189974464,2607.741061325662,4002.9357998188493,7452.963343930413,19971.575336920392
prophet,AutoDifferences(max_diffs=101) | LocalMinMaxScaler(stats_=[[-31.78669116  72.81317199]]),289.52320246208876,450.826806899317,502.50546321206684,609.4351147971694,923.6951030503045,1820.2812185934797,7127.737231894452,12637.461148728591,16486.711016301313,16129.528890455447,23894.377580509776,43465.13297648948,111949.00602190653
prophet,"AutoSeasonalDifferences(max_diffs=101, n_seasons=10, season_length=67) | LocalStandardScaler(stats_=[[19.77727367  8.83497709]])",86.29453124631131,101.61900495167973,105.90146980843352,109.07924910155533,114.2092076303035,143.9443730833601,175.4454517853434,199.69431816429795,177.40588893986254,181.2876175596142,227.1824072298303,257.86411540236634,397.5903696389118
prophet,"AutoSeasonalDifferences(max_diffs=101, n_seasons=10, season_length=67) | LocalMinMaxScaler(stats_=[[ 5.1691023  68.51939945]])",44.038673699519244,51.42289501850181,60.403833776258764,65.21142854355672,66.16771992375496,59.96740853428686,52.2065558703457,46.73030749800356,43.59035522449238,48.644815937007934,47.66031974251308,45.55795892861752,45.16625830292027
prophet,"AutoSeasonalDifferences(max_diffs=101, n_seasons=10, season_length=67) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 1.00295326e-321]], upper=2.0)",59.154177232491314,46.19898810620361,50.186342200252,52.53472726654251,49.7690532165631,46.39487862084266,43.74477668749723,40.379332833593814,37.77960886703252,40.03447221749292,38.037708916508194,38.47738013677612,51.98088957363902
prophet,"AutoSeasonalityAndDifferences(max_diffs=101, max_season_length=67, n_seasons=10) | LocalStandardScaler(stats_=[[19.77727367  8.83497709]])",86.29453124631131,101.61900495167973,105.90146980843352,109.07924910155533,114.2092076303035,143.9443730833601,175.4454517853434,199.69431816429795,177.40588893986254,181.2876175596142,227.1824072298303,257.86411540236634,397.5903696389118
prophet,"AutoSeasonalityAndDifferences(max_diffs=101, max_season_length=67, n_seasons=10) | LocalMinMaxScaler(stats_=[[ 5.1691023  68.51939945]])",44.038673699519244,51.42289501850181,60.403833776258764,65.21142854355672,66.16771992375496,59.96740853428686,52.2065558703457,46.73030749800356,43.59035522449238,48.644815937007934,47.66031974251308,45.55795892861752,45.16625830292027
prophet,"AutoSeasonalityAndDifferences(max_diffs=101, max_season_length=67, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",59.154177232491314,46.19898810620361,50.186342200252,52.53472726654251,49.7690532165631,46.39487862084266,43.74477668749723,40.379332833593814,37.77960886703252,40.03447221749292,38.037708916508194,38.47738013677612,51.98088957363902
prophet_add_season30_5,,45.62916983400343,54.32079698510176,63.35026047990039,68.28766919056154,69.93032219601545,65.2826873837633,58.098724383199475,56.25789338631015,56.204019803950246,62.81978008406547,68.15414255226473,73.7031731236546,98.90959971554962
prophet_add_season30_5,AutoDifferences(max_diffs=101),65.33283631602971,87.3737952129103,91.29526745272594,112.76447964948157,192.75522796543407,403.0239055800135,1211.396246110873,2014.1483575913935,2735.8327503717014,2808.161348796511,4477.633724190229,8220.419181688401,22390.746512726328
