Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_555_days
prophet,,25.64687933405661,33.50097877564108,43.01780681196385,42.14589722651285,39.385272630359125,39.7306830509617,38.065141119264176,37.861778708235946,37.449661061321535,37.25630182645814,37.04595817954902
prophet,AutoDifferences(max_diffs=370),37.58321738038381,74.32550320555364,106.32048889268839,98.23933657686067,89.60592124807772,84.32506126641084,75.80462454210478,76.81127048672347,76.91071353337784,78.37547378933309,86.85051555939242
prophet,"AutoSeasonalDifferences(max_diffs=370, n_seasons=10, season_length=247)",25.64687933405661,33.50097877564108,43.01780681196385,42.14589722651285,39.385272630359125,39.7306830509617,38.065141119264176,37.861778708235946,37.449661061321535,37.25630182645814,37.04595817954902
prophet,"AutoSeasonalityAndDifferences(max_diffs=370, max_season_length=247, n_seasons=10)",25.64687933405661,33.50097877564108,43.01780681196385,42.14589722651285,39.385272630359125,39.7306830509617,38.065141119264176,37.861778708235946,37.449661061321535,37.25630182645814,37.04595817954902
prophet,LocalStandardScaler(stats_=[[43.01435456 36.25880212]]),194.2705586341549,350.55137697750354,533.1048295195203,565.6639561368166,627.4102258691164,730.2876867104295,750.3562695087849,661.2610814950025,581.759973693815,724.8601556564645,881.259337314731
prophet,LocalMinMaxScaler(stats_=[[  3.63624679 211.61653099]]),25.141646981763554,35.24906562034515,46.36981423281698,45.168913113760276,42.07353259639399,42.385690441085835,40.19077666432677,39.51949572091955,38.80478554770778,39.94442502931991,39.63867118380174
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.66102644e-321]], upper=2.0)",22.19548289425277,34.7077083151425,48.78902792773743,48.308791044296854,46.867173899684964,49.36547695964879,48.45536225527785,50.18063827671665,53.489832387369404,61.88088591941361,64.93775248535793
prophet,AutoDifferences(max_diffs=370) | LocalStandardScaler(stats_=[[-1.17470841e-02  2.35636690e+01]]),27.05908716946375,35.881025568844485,35.03173813054586,48.203307362706624,68.34564628029405,91.8887056262612,116.92423060879705,127.71621744733757,153.9309739859174,402.2393482950747,517.5063560581818
prophet,AutoDifferences(max_diffs=370) | LocalMinMaxScaler(stats_=[[-136.9087305   257.77251817]]),21.71234837483499,70.07027856689497,134.1664805295273,156.2984109249735,178.00284303946543,202.94958700339177,199.18238342701238,183.7457656372326,187.44558776228948,362.45375519594086,446.6228123707175
prophet,"AutoSeasonalDifferences(max_diffs=370, n_seasons=10, season_length=247) | LocalStandardScaler(stats_=[[43.01435456 36.25880212]])",194.2705586341549,350.55137697750354,533.1048295195203,565.6639561368166,627.4102258691164,730.2876867104295,750.3562695087849,661.2610814950025,581.759973693815,724.8601556564645,881.259337314731
prophet,"AutoSeasonalDifferences(max_diffs=370, n_seasons=10, season_length=247) | LocalMinMaxScaler(stats_=[[  3.63624679 211.61653099]])",25.141646981763554,35.24906562034515,46.36981423281698,45.168913113760276,42.07353259639399,42.385690441085835,40.19077666432677,39.51949572091955,38.80478554770778,39.94442502931991,39.63867118380174
prophet,"AutoSeasonalDifferences(max_diffs=370, n_seasons=10, season_length=247) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.66102644e-321]], upper=2.0)",22.19548289425277,34.7077083151425,48.78902792773743,48.308791044296854,46.867173899684964,49.36547695964879,48.45536225527785,50.18063827671665,53.489832387369404,61.88088591941361,64.93775248535793
prophet,"AutoSeasonalityAndDifferences(max_diffs=370, max_season_length=247, n_seasons=10) | LocalStandardScaler(stats_=[[43.01435456 36.25880212]])",194.2705586341549,350.55137697750354,533.1048295195203,565.6639561368166,627.4102258691164,730.2876867104295,750.3562695087849,661.2610814950025,581.759973693815,724.8601556564645,881.259337314731
prophet,"AutoSeasonalityAndDifferences(max_diffs=370, max_season_length=247, n_seasons=10) | LocalMinMaxScaler(stats_=[[  3.63624679 211.61653099]])",25.141646981763554,35.24906562034515,46.36981423281698,45.168913113760276,42.07353259639399,42.385690441085835,40.19077666432677,39.51949572091955,38.80478554770778,39.94442502931991,39.63867118380174
prophet,"AutoSeasonalityAndDifferences(max_diffs=370, max_season_length=247, n_seasons=10) | LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-05 0.00000000e+00]], upper=2.0)",22.19548289425277,34.7077083151425,48.78902792773743,48.308791044296854,46.867173899684964,49.36547695964879,48.45536225527785,50.18063827671665,53.489832387369404,61.88088591941361,64.93775248535793
prophet_add_season30_5,,22.93813394245808,34.937661843359216,45.09024613578587,45.57858926613876,42.94454808256365,41.90533364559539,40.133017120212436,39.634801613807326,38.92831634555283,39.270405281623525,39.08484848642729
prophet_add_season30_5,AutoDifferences(max_diffs=370),50.2612096258109,120.45910749618768,196.0527732989825,208.33847045689686,222.27586968068098,239.0621228662508,211.0570272379356,176.2235670519361,172.67296931641508,405.8320043475158,500.6896368392795
prophet_add_season30_5,"AutoSeasonalDifferences(max_diffs=370, n_seasons=10, season_length=247)",22.93813394245808,34.937661843359216,45.09024613578587,45.57858926613876,42.94454808256365,41.90533364559539,40.133017120212436,39.634801613807326,38.92831634555283,39.270405281623525,39.08484848642729
prophet_add_season30_5,"AutoSeasonalityAndDifferences(max_diffs=370, max_season_length=247, n_seasons=10)",22.93813394245808,34.937661843359216,45.09024613578587,45.57858926613876,42.94454808256365,41.90533364559539,40.133017120212436,39.634801613807326,38.92831634555283,39.270405281623525,39.08484848642729
