Model,Transforms,test_30_days,test_60_days,test_90_days,test_120_days,test_150_days,test_180_days,test_240_days,test_300_days,test_360_days,test_480_days,test_494_days
prophet,,59.85708403812154,49.645366234769035,42.9260029036403,42.37126274758494,40.99040903807057,39.3321158275757,38.60056583758802,37.909541522610404,37.63384432727511,37.137229447054914,36.890047343893904
prophet,AutoDifferences(max_diffs=380),22.187596619998505,35.277959388489286,42.05863331581779,47.31921596036254,54.189819551956695,60.57941926845749,69.8053415926434,76.0198636287731,83.09931289018661,99.74102030243476,100.68156369404558
prophet,"AutoSeasonalDifferences(max_diffs=380, n_seasons=10, season_length=267)",59.85708403812154,49.645366234769035,42.9260029036403,42.37126274758494,40.99040903807057,39.3321158275757,38.60056583758802,37.909541522610404,37.63384432727511,37.137229447054914,36.890047343893904
prophet,"AutoSeasonalityAndDifferences(max_diffs=380, max_season_length=267, n_seasons=10)",59.85708403812154,49.645366234769035,42.9260029036403,42.37126274758494,40.99040903807057,39.3321158275757,38.60056583758802,37.909541522610404,37.63384432727511,37.137229447054914,36.890047343893904
prophet,LocalStandardScaler(stats_=[[41.02913136 35.59567409]]),513.6449108746219,394.0401678005367,335.3686695776244,325.7668371664768,286.23818186123276,245.23799594637174,204.0560197649122,175.33226951561494,287.3958857481009,388.25176961936677,394.5808126590464
prophet,LocalMinMaxScaler(stats_=[[  3.63624679 211.61653099]]),65.78155790777099,53.44193870851408,45.95447434664946,45.16901659339393,43.40640081819252,41.35004804456929,40.03874604194716,38.971075128404635,39.057471856368714,39.642363501472275,39.25558610873147
prophet,"LocalBoxCox(lower=0.0, method=loglik, season_length=None, stats_=[[4.10226185e-005 3.96240648e-321]], upper=2.0)",61.738763090366554,50.843005122700646,45.55915245704003,47.144165575501184,46.1450127468345,44.193842078943035,44.542200421358366,45.97030462173967,46.76319461409296,53.26147110708842,52.42315865752546
prophet,AutoDifferences(max_diffs=380) | LocalStandardScaler(stats_=[[-0.0323692  22.70274484]]),19.51712594867227,28.80975768923857,33.15294060850452,35.63761344553998,40.93736746649996,47.34176116953923,57.213286158734824,60.868313358055445,57.137245899175795,50.31786221541745,50.30851031968386
prophet,AutoDifferences(max_diffs=380) | LocalMinMaxScaler(stats_=[[-136.9087305   257.77251817]]),46.598448229727495,46.72416052349757,41.307118099289255,45.33521240918309,49.22759603472599,50.559582391886515,54.87642426874738,64.76719211893803,98.51517684175829,186.74217050974036,188.698274276553
prophet,"AutoSeasonalDifferences(max_diffs=380, n_seasons=10, season_length=267) | LocalStandardScaler(stats_=[[41.02913136 35.59567409]])",513.6449108746219,394.0401678005367,335.3686695776244,325.7668371664768,286.23818186123276,245.23799594637174,204.0560197649122,175.33226951561494,287.3958857481009,388.25176961936677,394.5808126590464
